@ID,CUSTOMER,CATEGORY,CURRENCY,ONLINE.ACTUAL.BAL,WORKING.BALANCE,OPENING.DATE
2000126,100456,6001,XAF,125846458,125846458,20250209
2000127,100625,6001,XAF,481039598,481039598,20230821
2000128,100328,1001,XAF,241462503,241462503,20241017
2000129,100239,1001,XAF,52534655,52534655,20241030
2000130,100672,6001,EUR,98969104,98969104,20250602
2000131,100201,6001,XAF,111343913,111343913,20231222
2000132,100605,6001,USD,375049659,375049659,20240318
2000133,100875,6001,XAF,34000146,34000146,20231031
2000134,100917,6001,EUR,122063783,122063783,20230825
2000135,100571,1001,XAF,322780409,322780409,20230614
2000136,100368,1001,XAF,448387532,448387532,20230530
2000137,100793,1001,XAF,405676715,405676715,20240115
2000138,100249,6001,XAF,220827574,220827574,20240515
2000139,100610,1001,XAF,210840725,210840725,20250706
2000140,100013,6001,XAF,46952933,46952933,20240602
2000141,100668,1001,USD,398270472,398270472,20251017
2000142,100230,6001,EUR,469307249,469307249,20240612
2000143,100594,6001,XAF,333371388,333371388,20250701
2000144,100576,6001,XAF,34577783,34577783,20250617
2000145,100851,1001,XAF,118679834,118679834,20250410
2000146,100049,1001,XAF,471006489,471006489,20231009
2000147,100990,1001,XAF,407963677,407963677,20240802
2000148,100677,1001,XAF,146175396,146175396,20250608
2000149,100369,1001,EUR,407860144,407860144,20240402
2000150,100915,1001,XAF,127063467,127063467,20241015
2000151,100915,1001,XAF,414446473,414446473,20240418
2000152,100302,1001,XAF,382843140,382843140,20251031
2000153,100320,6001,XAF,408691789,408691789,20241025
2000154,100436,6001,XAF,265426428,265426428,20230922
2000155,100907,1001,XAF,324854220,324854220,20251108
2000156,100859,1001,XAF,289273716,289273716,20250407
2000157,100533,6001,XAF,30248512,30248512,20230619
2000158,100342,6001,XAF,203744756,203744756,20240413
2000159,100671,1001,XAF,113429382,113429382,20250724
2000160,100844,6001,EUR,351120004,351120004,20240219
2000161,100268,1001,XAF,396788253,396788253,20230620
2000162,100938,1001,XAF,339091052,339091052,20230422
2000163,100322,1001,USD,292210036,292210036,20250513
2000164,100210,1001,XAF,74387877,74387877,20250607
2000165,100894,1001,XAF,301135391,301135391,20230909
2000166,100716,1001,XAF,166931322,166931322,20231204
2000167,100847,6001,XAF,494198620,494198620,20250328
2000168,100515,6001,XAF,61162622,61162622,20230805
2000169,100987,6001,XAF,202104053,202104053,20240120
2000170,100253,6001,USD,346133649,346133649,20251119
2000171,100634,1001,XAF,302728435,302728435,20230720
2000172,100092,1001,EUR,261038972,261038972,20230522
2000173,100611,6001,XAF,241861920,241861920,20230526
2000174,100530,1001,XAF,79408942,79408942,20230424
2000175,100377,6001,XAF,422010068,422010068,20250713
2000176,100832,6001,XAF,292726476,292726476,20250712
2000177,100387,6001,USD,60007209,60007209,20240322
2000178,100787,6001,XAF,207789951,207789951,20241210
2000179,100828,6001,EUR,50599760,50599760,20251204
2000180,100990,1001,EUR,64265895,64265895,20240620
2000181,100370,1001,XAF,349901893,349901893,20250524
2000182,100573,1001,XAF,315909809,315909809,20240227
2000183,100519,1001,XAF,387317516,387317516,20230715
2000184,100189,6001,XAF,240402928,240402928,20250423
2000185,100055,1001,XAF,248767989,248767989,20241028
2000186,100799,1001,XAF,21432067,21432067,20231017
2000187,100701,6001,XAF,389657133,389657133,20240709
2000188,100015,1001,XAF,373196381,373196381,20250608
2000189,100341,6001,XAF,302127485,302127485,20250828
2000190,100199,6001,XAF,56290720,56290720,20250804
2000191,100633,6001,XAF,137431866,137431866,20251109
2000192,100975,1001,EUR,318785079,318785079,20230724
2000193,100772,1001,XAF,118269716,118269716,20251201
2000194,100672,1001,XAF,340099815,340099815,20240522
2000195,100720,6001,XAF,149638042,149638042,20230831
2000196,100921,6001,XAF,349057476,349057476,20240601
2000197,100256,1001,EUR,126202658,126202658,20240501
2000198,100383,1001,XAF,197426681,197426681,20231119
2000199,100479,6001,XAF,331372080,331372080,20230425
2000200,100736,1001,XAF,121725810,121725810,20250321
2000201,100056,1001,XAF,81827017,81827017,20231020
2000202,100220,6001,XAF,65660992,65660992,20230623
2000203,100538,1001,XAF,482152350,482152350,20250421
2000204,100787,1001,XAF,326871752,326871752,20241130
2000205,100531,6001,XAF,411125763,411125763,20230803
2000206,100409,6001,XAF,407968810,407968810,20251205
2000207,100721,6001,EUR,296120828,296120828,20230622
2000208,100055,1001,XAF,254759196,254759196,20230512
2000209,100206,1001,XAF,383577755,383577755,20240729
2000210,100572,6001,XAF,376908656,376908656,20250219
2000211,100929,6001,USD,286728038,286728038,20250710
2000212,100789,6001,XAF,495585801,495585801,20240605
2000213,100613,6001,XAF,485435863,485435863,20251012
2000214,100595,6001,XAF,316984509,316984509,20241204
2000215,100367,1001,XAF,228929132,228929132,20241205
2000216,100335,6001,XAF,69895814,69895814,20251129
2000217,100404,6001,XAF,348263929,348263929,20251120
2000218,100726,1001,USD,216256089,216256089,20231112
2000219,100708,1001,USD,47505033,47505033,20240925
2000220,100253,1001,XAF,277745042,277745042,20240601
2000221,100260,6001,XAF,137713265,137713265,20241128
2000222,100612,1001,XAF,245560438,245560438,20240318
2000223,100530,1001,XAF,247831070,247831070,20230625
2000224,100264,6001,XAF,425351496,425351496,20250118
2000225,100176,1001,EUR,118964397,118964397,20230615
2000226,100928,6001,XAF,468512988,468512988,20230327
2000227,100018,1001,XAF,78090905,78090905,20241225
2000228,100130,6001,XAF,389553831,389553831,20250831
2000229,100379,6001,XAF,367058712,367058712,20240120
2000230,100581,1001,EUR,273766456,273766456,20240723
2000231,100908,6001,XAF,141973153,141973153,20250324
2000232,100217,6001,XAF,407599307,407599307,20230724
2000233,100966,1001,EUR,114709807,114709807,20240708
2000234,100515,6001,XAF,309579648,309579648,20230925
2000235,100702,6001,XAF,325556467,325556467,20240912
2000236,100520,1001,XAF,66439555,66439555,20230629
2000237,100047,1001,XAF,492429370,492429370,20250701
2000238,100245,1001,XAF,159253232,159253232,20240806
2000239,100532,1001,USD,364279331,364279331,20250508
2000240,100467,1001,USD,65894180,65894180,20240604
2000241,100186,6001,EUR,397549008,397549008,20230919
2000242,100676,6001,XAF,159454660,159454660,20241218
2000243,100693,6001,XAF,331038767,331038767,20230521
2000244,100771,6001,XAF,339503218,339503218,20241012
2000245,100169,1001,USD,438833337,438833337,20230706
2000246,100305,1001,XAF,247138721,247138721,20251123
2000247,100745,6001,EUR,166665718,166665718,20231224
2000248,100370,6001,XAF,377710640,377710640,20230422
2000249,100664,6001,XAF,412421007,412421007,20250907
2000250,100861,1001,XAF,287498280,287498280,20250827
2000251,100494,1001,XAF,499693573,499693573,20231106
2000252,100004,6001,XAF,436541490,436541490,20231115
2000253,100016,6001,XAF,229736100,229736100,20250211
2000254,100751,1001,XAF,172151080,172151080,20231211
2000255,100919,1001,XAF,412282062,412282062,20230901
2000256,100762,1001,XAF,23131312,23131312,20250312
2000257,100993,6001,XAF,25147905,25147905,20250706
2000258,100291,6001,XAF,66885996,66885996,20250921
2000259,100707,1001,EUR,340756449,340756449,20240127
2000260,100496,1001,USD,76295027,76295027,20231103
2000261,100950,1001,XAF,350892653,350892653,20240115
2000262,100692,1001,XAF,56127737,56127737,20230922
2000263,100564,6001,XAF,104864699,104864699,20251202
2000264,100556,1001,XAF,172063886,172063886,20230527
2000265,100780,1001,XAF,253840058,253840058,20230530
2000266,100719,1001,XAF,433906914,433906914,20230625
2000267,100730,1001,XAF,303384150,303384150,20241210
2000268,100020,6001,XAF,390284934,390284934,20230929
2000269,100300,6001,XAF,21181227,21181227,20250520
2000270,100468,6001,XAF,488533103,488533103,20250824
2000271,100528,1001,EUR,252231908,252231908,20250618
2000272,100353,6001,USD,453574053,453574053,20250826
2000273,100434,6001,XAF,332030825,332030825,20230913
2000274,100886,6001,XAF,311265094,311265094,20250627
2000275,100452,6001,XAF,176764997,176764997,20230717
2000276,100254,1001,XAF,418696296,418696296,20241209
2000277,100819,1001,XAF,168663807,168663807,20240906
2000278,100506,1001,XAF,429176832,429176832,20250403
2000279,100061,6001,XAF,105058205,105058205,20250927
2000280,100279,1001,XAF,379529769,379529769,20250211
2000281,100568,6001,XAF,145500825,145500825,20240821
2000282,100276,1001,USD,362187005,362187005,20230702
2000283,100889,1001,EUR,253583169,253583169,20250612
2000284,100991,6001,XAF,217525721,217525721,20230325
2000285,100390,6001,XAF,359666559,359666559,20230805
2000286,100498,1001,XAF,269806327,269806327,20231023
2000287,100804,1001,XAF,163034461,163034461,20240906
2000288,100694,1001,XAF,308566191,308566191,20240525
2000289,100604,1001,XAF,486302233,486302233,20251206
2000290,100086,1001,USD,149313572,149313572,20231124
2000291,100079,1001,XAF,90189267,90189267,20250513
2000292,100966,6001,XAF,415387111,415387111,20240112
2000293,100275,6001,XAF,176562324,176562324,20240422
2000294,100841,1001,USD,96048322,96048322,20240527
2000295,100742,6001,USD,435759598,435759598,20240418
2000296,100596,1001,XAF,487408193,487408193,20240202
2000297,100215,6001,XAF,437738966,437738966,20240928
2000298,100469,1001,XAF,208772797,208772797,20240529
2000299,100345,1001,XAF,86431586,86431586,20250109
2000300,100073,1001,XAF,478377404,478377404,20251015
2000301,100606,1001,EUR,103008969,103008969,20231012
2000302,100027,1001,XAF,259925762,259925762,20241027
2000303,100055,6001,XAF,134591932,134591932,20250502
2000304,100401,6001,USD,159253256,159253256,20251007
2000305,100037,6001,USD,290424203,290424203,20231205
2000306,100464,6001,USD,219774326,219774326,20241130
2000307,100772,1001,EUR,343564356,343564356,20240115
2000308,100470,6001,XAF,154306614,154306614,20230924
2000309,100331,1001,XAF,122448570,122448570,20230906
2000310,100735,6001,EUR,331850610,331850610,20250921
2000311,100218,6001,XAF,139022784,139022784,20240712
2000312,100733,6001,XAF,27883066,27883066,20240607
2000313,100368,6001,XAF,29294398,29294398,20240218
2000314,100106,1001,XAF,185174542,185174542,20250308
2000315,100473,1001,XAF,152927994,152927994,20240105
2000316,100191,1001,XAF,87705211,87705211,20240219
2000317,100954,6001,XAF,149290945,149290945,20251203
2000318,100623,6001,XAF,397540723,397540723,20240101
2000319,100442,1001,EUR,195203160,195203160,20240209
2000320,100904,1001,XAF,285380024,285380024,20230620
2000321,100154,1001,XAF,234446560,234446560,20240701
2000322,100186,6001,XAF,269204963,269204963,20250626
2000323,100527,1001,XAF,445667239,445667239,20240908
2000324,100153,1001,XAF,155678095,155678095,20241122
2000325,100150,6001,XAF,264519039,264519039,20251008
2000326,100760,1001,XAF,36583126,36583126,20241203
2000327,100428,1001,XAF,456052224,456052224,20241010
2000328,100712,6001,XAF,461664807,461664807,20250904
2000329,100703,1001,USD,107366357,107366357,20240402
2000330,100265,6001,XAF,134575281,134575281,20231110
2000331,100386,1001,XAF,163137209,163137209,20250730
2000332,100296,6001,XAF,165420921,165420921,20250729
2000333,100928,6001,USD,426212776,426212776,20241210
2000334,100409,1001,XAF,411503124,411503124,20251120
2000335,100868,6001,XAF,194114140,194114140,20230809
2000336,100604,6001,XAF,336842835,336842835,20250916
2000337,100074,6001,XAF,235141856,235141856,20230513
2000338,100536,6001,EUR,365306525,365306525,20230804
2000339,100761,1001,XAF,119825869,119825869,20250721
2000340,100241,6001,XAF,192254835,192254835,20251117
2000341,100965,1001,XAF,74204518,74204518,20230906
2000342,100412,6001,XAF,368850498,368850498,20250106
2000343,100559,1001,XAF,234137038,234137038,20240427
2000344,100221,6001,XAF,109002039,109002039,20250709
2000345,100868,1001,XAF,73234712,73234712,20250914
2000346,100080,1001,XAF,425468103,425468103,20230618
2000347,100446,1001,XAF,125225741,125225741,20240524
2000348,100073,1001,XAF,193205101,193205101,20230415
2000349,100014,6001,XAF,194031181,194031181,20230621
2000350,100614,6001,EUR,226294269,226294269,20250117
2000351,100186,6001,XAF,493841487,493841487,20251028
2000352,100634,1001,XAF,344906214,344906214,20231022
2000353,100557,1001,EUR,222182208,222182208,20240927
2000354,100021,1001,XAF,391448060,391448060,20250812
2000355,100266,6001,XAF,407591468,407591468,20250714
2000356,100288,6001,XAF,72720474,72720474,20230402
2000357,100885,1001,USD,354926665,354926665,20241107
2000358,100825,1001,XAF,278505099,278505099,20250707
2000359,100310,6001,XAF,152372587,152372587,20250524
2000360,100046,6001,USD,164433315,164433315,20231220
2000361,100954,6001,USD,29051628,29051628,20250129
2000362,100288,6001,XAF,304496849,304496849,20251105
2000363,100573,1001,XAF,387117023,387117023,20230411
2000364,100099,1001,XAF,124863202,124863202,20241204
2000365,100784,6001,XAF,173113930,173113930,20240324
2000366,100871,1001,XAF,310643298,310643298,20240521
2000367,100255,6001,EUR,142146956,142146956,20251030
2000368,100221,6001,XAF,24163205,24163205,20251109
2000369,100624,6001,XAF,246042502,246042502,20230809
2000370,100576,6001,XAF,351285504,351285504,20231106
2000371,100462,1001,XAF,156661813,156661813,20251108
2000372,100017,6001,XAF,317537355,317537355,20230903
2000373,100286,1001,XAF,428099898,428099898,20230516
2000374,100225,1001,XAF,84443797,84443797,20240711
2000375,100779,6001,EUR,102145291,102145291,20230710
2000376,100564,6001,XAF,306273415,306273415,20230731
2000377,100546,6001,XAF,494666564,494666564,20230420
2000378,100567,1001,XAF,177676560,177676560,20231204
2000379,100009,6001,XAF,302433640,302433640,20240706
2000380,100615,6001,XAF,462208522,462208522,20231118
2000381,100633,6001,XAF,454608871,454608871,20230323
2000382,100370,1001,EUR,178708583,178708583,20241128
2000383,100258,6001,EUR,164966427,164966427,20231024
2000384,100373,1001,EUR,290343849,290343849,20240112
2000385,100262,1001,XAF,388272351,388272351,20241031
2000386,100899,6001,XAF,229358933,229358933,20250912
2000387,100772,6001,XAF,335572713,335572713,20240527
2000388,100496,6001,XAF,242211802,242211802,20250909
2000389,100601,6001,EUR,480111456,480111456,20230330
2000390,100609,6001,EUR,150213113,150213113,20230501
2000391,100316,1001,XAF,265219755,265219755,20240211
2000392,100868,6001,USD,411059010,411059010,20231205
2000393,100325,6001,XAF,318894226,318894226,20250316
2000394,100112,1001,XAF,461077531,461077531,20230708
2000395,100762,6001,XAF,102709259,102709259,20230321
2000396,100497,6001,USD,72195897,72195897,20230703
2000397,100026,6001,XAF,393364879,393364879,20250330
2000398,100780,6001,XAF,408368865,408368865,20231105
2000399,100540,1001,XAF,457444632,457444632,20240730
2000400,100906,1001,XAF,101524971,101524971,20241008
2000401,100937,6001,XAF,441405323,441405323,20250915
2000402,100335,6001,XAF,406509920,406509920,20250920
2000403,100667,1001,XAF,229689617,229689617,20240129
2000404,100675,1001,EUR,337231122,337231122,20250611
2000405,100842,6001,EUR,42916283,42916283,20251025
2000406,100177,1001,XAF,46524520,46524520,20231112
2000407,100049,1001,XAF,253255362,253255362,20230629
2000408,100711,6001,XAF,167607847,167607847,20250301
2000409,100030,1001,XAF,47885935,47885935,20250518
2000410,100894,1001,XAF,396160871,396160871,20241222
2000411,100052,1001,XAF,427514851,427514851,20231223
2000412,100408,1001,XAF,113942221,113942221,20250814
2000413,100661,1001,XAF,252569296,252569296,20241028
2000414,100762,6001,EUR,337708066,337708066,20250725
2000415,100619,6001,XAF,350964441,350964441,20240925
2000416,100623,1001,EUR,250586934,250586934,20250126
2000417,100006,6001,USD,453999239,453999239,20241215
2000418,100418,6001,XAF,108536917,108536917,20230321
2000419,100590,1001,USD,241393423,241393423,20240811
2000420,100631,1001,XAF,402903533,402903533,20241105
2000421,100876,1001,XAF,66443800,66443800,20240619
2000422,100588,6001,XAF,214482172,214482172,20250808
2000423,100187,6001,XAF,323449833,323449833,20250630
2000424,100052,1001,XAF,198212503,198212503,20240221
2000425,100228,6001,XAF,330748218,330748218,20251004
2000426,100321,6001,XAF,99167879,99167879,20231011
2000427,100610,6001,XAF,97069379,97069379,20250918
2000428,100672,6001,XAF,356854710,356854710,20250717
2000429,100958,6001,XAF,330538442,330538442,20240419
2000430,100297,6001,XAF,54547379,54547379,20251013
2000431,100433,6001,XAF,282879552,282879552,20231026
2000432,100917,6001,XAF,272115236,272115236,20240214
2000433,100339,1001,XAF,363196371,363196371,20251015
2000434,100811,1001,EUR,377859341,377859341,20240808
2000435,100103,6001,XAF,321518057,321518057,20231201
2000436,100533,6001,USD,244087583,244087583,20230516
2000437,100656,1001,XAF,332230954,332230954,20240519
2000438,100359,1001,XAF,332062512,332062512,20251017
2000439,100478,1001,XAF,77155586,77155586,20250801
2000440,100629,1001,XAF,163319983,163319983,20250924
2000441,100496,1001,XAF,233126532,233126532,20231024
2000442,100655,1001,XAF,199072323,199072323,20241210
2000443,100605,1001,XAF,458511397,458511397,20230426
2000444,100737,6001,XAF,45344767,45344767,20231130
2000445,100971,1001,XAF,61870565,61870565,20230621
2000446,100907,6001,XAF,202142548,202142548,20250619
2000447,100553,1001,XAF,445315025,445315025,20240726
2000448,100914,6001,XAF,440642854,440642854,20250509
2000449,100125,1001,USD,451458862,451458862,20251123
2000450,100787,1001,XAF,348934459,348934459,20240402
2000451,100719,6001,XAF,69542745,69542745,20240911
2000452,100842,6001,XAF,54892091,54892091,20250718
2000453,100536,6001,XAF,83866292,83866292,20241121
2000454,100756,1001,XAF,87971893,87971893,20231007
2000455,100718,1001,EUR,367696971,367696971,20241004
2000456,100119,1001,XAF,429340569,429340569,20240508
2000457,100808,1001,EUR,51239699,51239699,20240623
2000458,100312,6001,XAF,154909714,154909714,20250408
2000459,100627,1001,XAF,255257485,255257485,20250619
2000460,100655,1001,XAF,34816047,34816047,20231029
2000461,100837,1001,USD,209968515,209968515,20250626
2000462,100604,1001,XAF,21686292,21686292,20231119
2000463,100026,6001,XAF,64677534,64677534,20240104
2000464,100476,1001,XAF,230604490,230604490,20240506
2000465,100960,6001,XAF,350843328,350843328,20250404
2000466,100697,1001,XAF,275059522,275059522,20241003
2000467,100691,6001,XAF,81816048,81816048,20230916
2000468,100794,6001,XAF,84438881,84438881,20230602
2000469,100699,1001,EUR,160681167,160681167,20231119
2000470,100891,1001,EUR,397720338,397720338,20250730
2000471,100367,6001,EUR,290134947,290134947,20250818
2000472,100029,1001,XAF,134324515,134324515,20231123
2000473,100850,6001,XAF,131777226,131777226,20250721
2000474,100543,6001,XAF,186786555,186786555,20240219
2000475,100337,1001,XAF,98974267,98974267,20230707
2000476,100300,1001,XAF,386611845,386611845,20250921
2000477,100083,1001,XAF,350009899,350009899,20250116
2000478,100351,1001,USD,479455452,479455452,20240425
2000479,100671,6001,XAF,355785111,355785111,20250109
2000480,100142,6001,XAF,330437832,330437832,20240909
2000481,100346,6001,XAF,497200621,497200621,20231231
2000482,100688,6001,XAF,416150124,416150124,20250912
2000483,100637,1001,XAF,235456048,235456048,20251212
2000484,100748,6001,XAF,173188080,173188080,20240714
2000485,100468,6001,XAF,334135232,334135232,20251120
2000486,100051,6001,XAF,306523991,306523991,20240821
2000487,100452,6001,XAF,92672663,92672663,20251210
2000488,100047,1001,XAF,476840212,476840212,20230510
2000489,100381,1001,XAF,314030545,314030545,20240110
2000490,100891,1001,XAF,378932642,378932642,20230329
2000491,100274,1001,XAF,418883428,418883428,20230804
2000492,100628,1001,XAF,466713578,466713578,20250416
2000493,100903,6001,XAF,241417705,241417705,20230701
2000494,100449,1001,XAF,230593182,230593182,20241201
2000495,100575,6001,XAF,396741249,396741249,20250731
2000496,100782,1001,XAF,44048280,44048280,20230824
2000497,100366,1001,XAF,395337851,395337851,20250928
2000498,100950,6001,XAF,367240024,367240024,20231218
2000499,100272,6001,XAF,401206294,401206294,20250414
2000500,100628,1001,XAF,53421336,53421336,20240810
2000501,100589,1001,XAF,444632119,444632119,20240609
2000502,100231,6001,XAF,171634315,171634315,20240214
2000503,100080,1001,XAF,348250076,348250076,20230418
2000504,100188,6001,XAF,277557318,277557318,20241014
2000505,100343,6001,XAF,375648326,375648326,20231026
2000506,100364,6001,XAF,277073602,277073602,20250207
2000507,100987,1001,XAF,256059675,256059675,20251027
2000508,100767,1001,XAF,345434260,345434260,20251023
2000509,100936,1001,XAF,380528747,380528747,20250328
2000510,100812,1001,EUR,141361500,141361500,20230409
2000511,100663,1001,XAF,415687868,415687868,20230620
2000512,100969,1001,XAF,146844782,146844782,20241125
2000513,100585,6001,XAF,252894282,252894282,20240921
2000514,100776,1001,XAF,275784322,275784322,20231010
2000515,100832,1001,XAF,371433759,371433759,20230425
2000516,100205,6001,USD,453537814,453537814,20240129
2000517,100338,1001,XAF,287592887,287592887,20240121
2000518,100903,6001,XAF,185400920,185400920,20230715
2000519,100529,1001,XAF,351835002,351835002,20250314
2000520,100940,6001,XAF,186903673,186903673,20240521
2000521,100524,1001,XAF,306502905,306502905,20240621
2000522,100785,6001,XAF,308560130,308560130,20230822
2000523,100382,1001,XAF,380626174,380626174,20251115
2000524,100606,6001,XAF,415219240,415219240,20230516
2000525,100374,1001,XAF,151731024,151731024,20240409
2000526,100451,1001,XAF,272906133,272906133,20240627
2000527,100296,1001,XAF,29821337,29821337,20231031
2000528,100986,1001,XAF,333412022,333412022,20240714
2000529,100035,1001,USD,54716855,54716855,20251122
2000530,100007,1001,XAF,346294590,346294590,20241203
2000531,100786,6001,XAF,233190647,233190647,20240419
2000532,100217,1001,XAF,391791736,391791736,20240325
2000533,100340,6001,XAF,232446016,232446016,20241023
2000534,100525,1001,XAF,412632662,412632662,20241220
